tweet_id,curtidas,retweets,data
892420643555336193,38385,8431,2017-08-01 16:23:56
892177421306343426,32888,6211,2017-08-01 00:17:27
891815181378084864,24784,4111,2017-07-31 00:18:03
891689557279858688,41720,8557,2017-07-30 15:58:51
891327558926688256,39894,9284,2017-07-29 16:00:24
891087950875897856,20022,3081,2017-07-29 00:08:17
890971913173991426,11722,2045,2017-07-28 16:27:12
890729181411237888,64793,18693,2017-07-28 00:22:40
890609185150312448,27533,4223,2017-07-27 16:25:51
890240255349198849,31602,7319,2017-07-26 15:59:51
890006608113172480,30344,7262,2017-07-26 00:31:25
889880896479866881,27498,4927,2017-07-25 16:11:53
889665388333682689,47629,9962,2017-07-25 01:55:32
889638837579907072,26895,4494,2017-07-25 00:10:02
889531135344209921,14942,2214,2017-07-24 17:02:04
889278841981685760,25040,5365,2017-07-24 00:19:32
888917238123831296,28794,4457,2017-07-23 00:22:39
888804989199671297,25333,4279,2017-07-22 16:56:37
888554962724278272,19674,3540,2017-07-22 00:23:06
888078434458587136,21539,3465,2017-07-20 16:49:33
887705289381826560,29856,5333,2017-07-19 16:06:48
887517139158093824,45788,11552,2017-07-19 03:39:09
887473957103951883,68395,18018,2017-07-19 00:47:34
887343217045368832,33334,10299,2017-07-18 16:08:03
887101392804085760,30241,5907,2017-07-18 00:07:08
886983233522544640,34808,7704,2017-07-17 16:17:36
886736880519319552,11932,3258,2017-07-16 23:58:41
886680336477933568,22195,4421,2017-07-16 20:14:00
886366144734445568,20981,3171,2017-07-15 23:25:31
886267009285017600,116,4,2017-07-15 16:51:35
886258384151887873,27695,6222,2017-07-15 16:17:19
886054160059072513,0,104,2017-07-15 02:45:48
885984800019947520,32365,6747,2017-07-14 22:10:11
885528943205470208,35610,6367,2017-07-13 15:58:47
885518971528720385,20217,3721,2017-07-13 15:19:09
885311592912609280,0,18434,2017-07-13 01:35:06
885167619883638784,21705,4340,2017-07-12 16:03:00
884925521741709313,76727,18269,2017-07-12 00:01:00
884876753390489601,27646,5735,2017-07-11 20:47:12
884562892145688576,24073,4826,2017-07-11 00:00:02
884441805382717440,26726,5599,2017-07-10 15:58:53
884247878851493888,72307,20277,2017-07-10 03:08:17
884162670584377345,20170,2959,2017-07-09 21:29:42
883838122936631299,21681,3411,2017-07-09 00:00:04
883482846933004288,45493,9880,2017-07-08 00:28:19
883360690899218434,22344,3647,2017-07-07 16:22:55
883117836046086144,36819,6619,2017-07-07 00:17:54
882992080364220416,23726,3887,2017-07-06 15:58:11
882762694511734784,28028,4878,2017-07-06 00:46:41
882627270321602560,27632,6033,2017-07-05 15:48:34
882268110199369728,44516,11495,2017-07-04 16:01:23
882045870035918850,29068,4931,2017-07-04 01:18:17
881906580714921986,24071,3373,2017-07-03 16:04:48
881666595344535552,50048,10579,2017-07-03 00:11:11
881633300179243008,125,7,2017-07-02 21:58:53
881536004380872706,48946,15830,2017-07-02 15:32:16
881268444196462592,22855,5120,2017-07-01 21:49:04
880935762899988482,16859,2762,2017-06-30 23:47:07
880872448815771648,21074,3785,2017-06-30 19:35:32
880465832366813184,28252,6237,2017-06-29 16:39:47
880221127280381952,26795,4183,2017-06-29 00:27:25
880095782870896641,27365,4327,2017-06-28 16:09:20
879862464715927552,22121,3473,2017-06-28 00:42:13
879674319642796034,310,10,2017-06-27 12:14:36
879492040517615616,23202,3162,2017-06-27 00:10:17
879415818425184262,104865,43867,2017-06-26 19:07:24
879376492567855104,16613,3099,2017-06-26 16:31:08
879130579576475649,0,6782,2017-06-26 00:13:58
879050749262655488,22373,4690,2017-06-25 18:56:45
879008229531029506,18798,2674,2017-06-25 16:07:47
878776093423087618,19230,4104,2017-06-25 00:45:22
878604707211726852,29986,7155,2017-06-24 13:24:20
878404777348136964,0,1282,2017-06-24 00:09:53
878316110768087041,0,6614,2017-06-23 18:17:33
878281511006478336,7679,1282,2017-06-23 16:00:04
878057613040115712,41656,6782,2017-06-23 01:10:23
877736472329191424,79117,18986,2017-06-22 03:54:17
877611172832227328,0,80,2017-06-21 19:36:23
877556246731214848,22527,3788,2017-06-21 15:58:08
877316821321428993,27115,5147,2017-06-21 00:06:44
877201837425926144,26867,5554,2017-06-20 16:29:50
876838120628539392,20476,3334,2017-06-19 16:24:33
876537666061221889,23275,4599,2017-06-18 20:30:39
876484053909872640,18592,2385,2017-06-18 16:57:37
876120275196170240,27665,4669,2017-06-17 16:52:05
875747767867523072,24970,4271,2017-06-16 16:11:53
875144289856114688,21745,4905,2017-06-15 00:13:52
875097192612077568,27195,6018,2017-06-14 21:06:43
875021211251597312,25255,4696,2017-06-14 16:04:48
874680097055178752,27609,4633,2017-06-13 17:29:20
874434818259525634,0,14714,2017-06-13 01:14:41
874296783580663808,25861,4102,2017-06-12 16:06:11
874057562936811520,22473,3946,2017-06-12 00:15:36
874012996292530176,34364,10416,2017-06-11 21:18:31
873580283840344065,24051,3948,2017-06-10 16:39:04
873337748698140672,0,1587,2017-06-10 00:35:19
873213775632977920,7190,1587,2017-06-09 16:22:42
872967104147763200,27201,5400,2017-06-09 00:02:31
872820683541237760,14621,3697,2017-06-08 14:20:41
872620804844003328,20655,3703,2017-06-08 01:06:27
872486979161796608,40434,9015,2017-06-07 16:14:40
872261713294495745,34020,6343,2017-06-07 01:19:32
872122724285648897,34294,8130,2017-06-06 16:07:15
871879754684805121,37859,11222,2017-06-06 00:01:46
871762521631449091,20197,3488,2017-06-05 16:15:56
871515927908634625,20126,3467,2017-06-04 23:56:03
871166179821445120,0,5727,2017-06-04 00:46:17
871102520638267392,20849,5524,2017-06-03 20:33:19
871032628920680449,22585,3833,2017-06-03 15:55:36
870804317367881728,33527,6238,2017-06-03 00:48:22
870726314365509632,119,3,2017-06-02 19:38:25
870656317836468226,12389,2662,2017-06-02 15:00:16
870374049280663552,82536,26378,2017-06-01 20:18:38
870308999962521604,21785,4183,2017-06-01 16:00:09
870063196459192321,36638,8423,2017-05-31 23:43:25
869772420881756160,42382,10113,2017-05-31 04:27:59
869702957897576449,28240,6389,2017-05-30 23:51:58
869596645499047938,15972,3155,2017-05-30 16:49:31
869227993411051520,20444,3821,2017-05-29 16:24:37
868880397819494401,65753,14667,2017-05-28 17:23:24
868639477480148993,0,2121,2017-05-28 01:26:04
868622495443632128,27259,5856,2017-05-28 00:18:35
868552278524837888,10167,2121,2017-05-27 19:39:34
867900495410671616,24254,4222,2017-05-26 00:29:37
867774946302451713,34110,7433,2017-05-25 16:10:44
867421006826221569,16180,2543,2017-05-24 16:44:18
867072653475098625,0,123,2017-05-23 17:40:04
867051520902168576,32387,7982,2017-05-23 16:16:06
866720684873056260,20189,4888,2017-05-22 18:21:28
866686824827068416,19435,3541,2017-05-22 16:06:55
866450705531457537,122979,35840,2017-05-22 00:28:40
866334964761202691,52926,14714,2017-05-21 16:48:45
866094527597207552,0,8525,2017-05-21 00:53:21
865718153858494464,25785,5715,2017-05-19 23:57:46
865359393868664832,26669,5087,2017-05-19 00:12:11
865006731092295680,28241,7830,2017-05-18 00:50:50
864873206498414592,32552,8897,2017-05-17 16:00:15
864279568663928832,14745,3104,2017-05-16 00:41:21
864197398364647424,30421,9136,2017-05-15 19:14:50
863907417377173506,20819,4227,2017-05-15 00:02:33
863553081350529029,15450,4263,2017-05-14 00:34:33
863471782782697472,0,2514,2017-05-13 19:11:30
863432100342583297,24061,5378,2017-05-13 16:33:49
863427515083354112,2290,99,2017-05-13 16:15:35
863079547188785154,8855,1123,2017-05-12 17:12:53
863062471531167744,8627,2514,2017-05-12 16:05:02
862831371563274240,19389,5201,2017-05-12 00:46:44
862722525377298433,17266,3614,2017-05-11 17:34:13
862457590147678208,20782,5074,2017-05-11 00:01:27
862096992088072192,75501,23888,2017-05-10 00:08:34
861383897657036800,36517,10969,2017-05-08 00:54:59
861288531465048066,17405,4271,2017-05-07 18:36:02
861005113778896900,16940,3907,2017-05-06 23:49:50
860981674716409858,0,2219,2017-05-06 22:16:42
860924035999428608,0,844,2017-05-06 18:27:40
860563773140209665,7615,2219,2017-05-05 18:36:06
860524505164394496,23962,5424,2017-05-05 16:00:04
860276583193509888,18568,3571,2017-05-04 23:34:55
860184849394610176,16942,5997,2017-05-04 17:30:24
860177593139703809,0,31762,2017-05-04 17:01:34
859924526012018688,19843,4219,2017-05-04 00:15:58
859851578198683649,15638,3613,2017-05-03 19:26:06
859607811541651456,18885,1618,2017-05-03 03:17:27
859196978902773760,91523,31161,2017-05-02 00:04:57
859074603037188101,34465,14026,2017-05-01 15:58:40
858860390427611136,0,8408,2017-05-01 01:47:28
858843525470990336,15801,3584,2017-05-01 00:40:27
858471635011153920,21881,5009,2017-04-30 00:02:42
858107933456039936,16018,3015,2017-04-28 23:57:28
857989990357356544,16410,2670,2017-04-28 16:08:49
857746408056729600,34939,11004,2017-04-28 00:00:54
857393404942143489,6033,1701,2017-04-27 00:38:11
857263160327368704,20418,4689,2017-04-26 16:00:39
857214891891077121,234,18,2017-04-26 12:48:51
857062103051644929,0,178,2017-04-26 02:41:43
857029823797047296,19335,4156,2017-04-26 00:33:27
856602993587888130,0,11102,2017-04-24 20:17:23
856543823941562368,16628,2989,2017-04-24 16:22:16
856526610513747968,12093,1952,2017-04-24 15:13:52
856330835276025856,0,703,2017-04-24 02:15:55
856288084350160898,525,17,2017-04-23 23:26:03
856282028240666624,28336,6570,2017-04-23 23:01:59
855862651834028034,355,28,2017-04-22 19:15:32
855860136149123072,5160,1074,2017-04-22 19:05:32
855857698524602368,12123,2201,2017-04-22 18:55:51
855851453814013952,46483,18461,2017-04-22 18:31:02
855818117272018944,27224,5664,2017-04-22 16:18:34
855459453768019968,30680,8578,2017-04-21 16:33:22
855245323840757760,0,6247,2017-04-21 02:22:29
855138241867124737,0,48,2017-04-20 19:16:59
854732716440526848,23466,6394,2017-04-19 16:25:34
854482394044301312,30135,7194,2017-04-18 23:50:52
854365224396361728,19430,4908,2017-04-18 16:05:17
854120357044912130,32879,7864,2017-04-17 23:52:16
854010172552949760,16670,3307,2017-04-17 16:34:26
853760880890318849,29456,6091,2017-04-17 00:03:50
853639147608842240,35961,10668,2017-04-16 16:00:07
853299958564483072,16020,3750,2017-04-15 17:32:18
852936405516943360,0,2122,2017-04-14 17:27:40
852912242202992640,9350,1935,2017-04-14 15:51:39
852672615818899456,15420,2271,2017-04-13 23:59:28
852553447878664193,16933,3710,2017-04-13 16:05:56
852311364735569921,34279,10447,2017-04-13 00:03:59
852226086759018497,20712,7198,2017-04-12 18:25:07
852189679701164033,11870,1674,2017-04-12 16:00:27
851953902622658560,0,10191,2017-04-12 00:23:33
851861385021730816,0,23,2017-04-11 18:15:55
851591660324737024,16786,3669,2017-04-11 00:24:08
851464819735769094,25173,7501,2017-04-10 16:00:07
851224888060895234,21461,6063,2017-04-10 00:06:42
850753642995093505,32212,9843,2017-04-08 16:54:09
